diam,-3
tegun,-3
kaget,-3
cabe,-2
sugesti,-3
kuota,-2
lengang,-4
tengkulak,-5
campak,-4
syur,-3
sanggama,-2
sepi,-3
naon,-2
teduh,-2
patung,-3
keluar,-3
maaf,-3
tutup mulut,-3
peranjat,-3
lanyak,-3
hina,-5
lancar,-2
nista,-5
leave,-3
licin,-2
murah,-2
spam,-3
mentang,-3
kepo,-3
tobat,-2
mentang,-4
ringan,-1
astagfirullah,-4
mudah,-1
titip api,-1
cebik,-3
fokus,-2
tahan,-2
resistan,-2
enteng,-2
astaga,-4
maapin,-4
berat tangan,-4
berat hati,-4
lembam,-4
macem,-2
realitas,-3
alpa,-3
yauda,-4
gigit,-2
ihhh,-4
sorang,-2
berat pinggul,-2
rasa,-2
milih,-2
kerubut,-3
sebab,-3
kempes,-4
bye,-3
kerubung,-3
tuntun,-2
tau,-4
serah,-3
wabah,-5
uar,-3
wara,-3
keroyok,-4
istirahat,-2
gajadi,-3
diri,-1
ati,-1
love,-3
ngerasa,-2
jelus,-2
timbal,-2
dajal,-5
artistik,-2
mukhlis,-2
tentang,-2
mbeling,-2
rame,-2
iri,-4
ngeselin,-5
ngatain,-5
ganjar,-5
junjung,-2
imut-imut,-1
seruh,-2
lurus hati,-1
lari,-2
senyum,-1
seringai,-4
ganjar,-3
panas hati,-5
keki,-4
jail,-4
lot,-5
sayang,-3
hukum,-3
bukan,-3
sayang,-3
beri,-2
balas,-3
gemes,-2
sukarela,-2
kebiri,-4
prasangka,-3
pahala,-1
pemuda,-1
mohon,-2
henti,-3
erang,-4
manah,-2
mabok,-4
panggil,-1
mager,-4
peduli,-2
item,-4
rip,-5
bandung,-1
haih,-4
muda,-2
tuhkan,-4
dua,-3
regenerasi,-2
gubris,-2
indah,-2
ribet,-4
master,-1
iri,-5
tetap hati,-1
tanggung,-4
diapain,-3
kira,-2
pelita,-2
nyali,-2
tangan panas,-4
rugi,-5
nyali besar,-1
tinggal,-4
ngerjain,-2
puntung,-3
percuma,-4
percaya diri,-1
pikir,-2
merah,-3
nyali besar,-2
nekat,-4
njir,-3
paksa,-4
baiat,-3
satria,-1
masak,-2
labil,-4
goreng,-2
antipati,-3
kontradiksi,-3
apa,-2
tinggal,-4
temenin,-3
kerumit,-5
khilaf,-4
nihh,-3
